Simulation_Number,Total_Customers,Avg_Queue_Size,Max_Queue_Size,Avg_Delay_Time,Max_Delay_Time,Avg_Elevator_Time,Max_Elevator_Time,Avg_Delivery_Time,Max_Delivery_Time,Load_Size,Opeation_Time,Available Time,Max_Loads_Count,Stops_Count
1,412,0.0,0,0.0,0,50.279126213592235,130,66.50485436893204,148,[4.903225806451613, 4.2592592592592595, 4.0, 3.5294117647058822],[3964, 3313, 2392, 1996],[6183, 6834, 7755, 8151],[1, 0, 1, 0],[123, 88, 70, 56]
2,353,0.004293988416217296,2,0.12181303116147309,23,51.91784702549575,148,68.15297450424929,164,[4.620689655172414, 4.130434782608695, 4.294117647058823, 4.166666666666667],[3828, 3033, 2191, 1574],[6186, 6981, 7823, 8440],[2, 0, 0, 0],[111, 83, 67, 39]
3,385,0.0,0,0.0,0,51.88831168831169,130,68.04675324675324,151,[4.3, 4.2, 4.571428571428571, 4.909090909090909],[3809, 3063, 2762, 1504],[6476, 7222, 7523, 8781],[0, 0, 0, 0],[107, 93, 79, 47]
4,347,0.0,0,0.0,0,51.36887608069164,127,67.86743515850144,152,[4.517241379310345, 3.8, 3.823529411764706, 5.0],[3677, 2773, 2139, 1509],[6325, 7229, 7863, 8493],[1, 0, 0, 0],[104, 78, 54, 49]
5,400,0.0,0,0.0,0,48.96,127,65.9125,173,[4.636363636363637, 3.8214285714285716, 3.9565217391304346, 3.4285714285714284],[4061, 3361, 2781, 1396],[6244, 6944, 7524, 8909],[3, 0, 0, 0],[117, 90, 78, 37]
6,375,0.0,0,0.0,0,51.714666666666666,139,68.96,169,[4.928571428571429, 3.259259259259259, 4.181818181818182, 4.3076923076923075],[3752, 2864, 2682, 1630],[6321, 7209, 7391, 8443],[2, 0, 0, 1],[113, 75, 81, 47]
7,362,0.0,0,0.0,0,50.43646408839779,121,66.7707182320442,146,[4.290322580645161, 3.769230769230769, 4.095238095238095, 4.0],[3799, 3300, 2486, 1386],[6294, 6793, 7607, 8707],[0, 0, 0, 0],[110, 86, 68, 39]
8,395,0.0,0,0.0,0,51.8,130,68.00253164556962,155,[4.451612903225806, 4.296296296296297, 3.85, 5.25],[3836, 3122, 2327, 1683],[6809, 7523, 8318, 8962],[1, 1, 0, 0],[112, 94, 66, 49]
9,405,0.0,0,0.0,0,50.90864197530864,136,67.08148148148148,172,[3.8125, 4.75, 3.625, 4.428571428571429],[3950, 3495, 2943, 1812],[6058, 6513, 7065, 8196],[0, 1, 0, 0],[109, 106, 77, 51]
10,396,0.0248015873015873,4,0.6313131313131313,67,50.13131313131313,124,66.96212121212122,159,[3.96875, 4.346153846153846, 3.909090909090909, 4.0588235294117645],[4081, 3187, 2626, 2121],[5999, 6893, 7454, 7959],[0, 0, 0, 0],[110, 93, 73, 59]
